opportunity,propsId,updatedAt,organization,anonymousProponentName,challengeScore,scenarioScore,priceScore,teamquestions,status,id,updatedAt,versionsId,versionsCreatedAt,totalMaxBudget,minTeamMembers,mandatorySkills,optionalSkills,questionsWeight,codeChallengeWeight,scenarioWeight,priceWeight,orgsId,city,region,country,maxQuestionScore,questionsOppVersion
76d04eca-334f-44b0-ac74-08910851715f,f6b0eedc-29b4-4d73-ac8e-c2d234ed7181,2022-06-22 15:45:27.596000 +00:00,77dd6b0e-76a5-4dfb-aeee-fc4a37e98f02,Proponent 12,98.05,75.06,95,30.5,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,77dd6b0e-76a5-4dfb-aeee-fc4a37e98f02,Victoria,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,e8f7126a-6b9d-4f82-85f4-68eb5050e91d,2022-06-22 15:45:27.596000 +00:00,445eb43c-71e8-49a1-8878-1bd57f60436a,Proponent 16,81.04,41.22,97.74769,27,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,445eb43c-71e8-49a1-8878-1bd57f60436a,Victoria,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,e1e5183c-cd29-4bc1-bc8b-dbceecb4641f,2022-06-22 15:45:27.596000 +00:00,ae857e14-6ce6-4330-a2fd-8fdbc156560b,Proponent 11,95.11,86.11,100,27,AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,ae857e14-6ce6-4330-a2fd-8fdbc156560b,Victoria,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,d852733b-3cc8-49d3-a837-6e2550d22a07,2022-06-22 15:45:27.596000 +00:00,7322717a-d348-42ac-a550-08d02411ba4a,Proponent 7,,,,18,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,7322717a-d348-42ac-a550-08d02411ba4a,Washington,DC,United States,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,bdc0eddf-1905-46ba-ac54-aa175fe44841,2022-06-22 15:45:27.596000 +00:00,521f5876-e4e7-4093-96aa-d778b19a02e9,"",,,,,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,521f5876-e4e7-4093-96aa-d778b19a02e9,Vancouver,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,9c78d1e1-a459-495e-afa5-7b7a659ea0ab,2022-06-22 15:45:27.596000 +00:00,d087539f-6824-4322-9dae-5117556569e4,Proponent 6,,,,23.5,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,d087539f-6824-4322-9dae-5117556569e4,Victoria,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,93bdce91-5652-4519-8c23-ce7f8886e722,2022-06-22 15:45:27.596000 +00:00,32053859-cd7b-421a-b272-28584d6eb6a9,Proponent 10,,,,15,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,32053859-cd7b-421a-b272-28584d6eb6a9,Winnipeg,MB,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,8468132e-ab74-43c7-b1da-50e19ea7b2fa,2022-06-22 15:45:27.596000 +00:00,a5f43b90-81bc-4850-bec1-40679d08adfe,Proponent 5,,,,25.5,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,a5f43b90-81bc-4850-bec1-40679d08adfe,Edmonton,AB,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,6ed5190f-cd74-45bb-b991-e534866f5ad5,2022-06-22 15:45:27.596000 +00:00,e5a70929-1391-44d5-b5e0-9602519df63c,Proponent 13,,,,18.5,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,e5a70929-1391-44d5-b5e0-9602519df63c,Regina,Saskatchewan,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
76d04eca-334f-44b0-ac74-08910851715f,577c1996-6902-4540-bd59-25e34908274c,2022-06-22 15:45:27.596000 +00:00,4da82e8b-a429-4d42-be7d-87e08e5cb6fb,Proponent 8,,,,17,NOT_AWARDED,76d04eca-334f-44b0-ac74-08910851715f,2022-06-22 15:45:27.639000 +00:00,bad6b539-599d-480c-8dd8-3b6e350c87bb,2022-04-29 18:19:03.380000 +00:00,1000000,5,"{Agile,Back-End Development,Data Analysis,Front-End Development,JavaScript,PostgreSQL,Scrum,User Interface Design,User Experience Design,solution architecture,data integration design}","{Geographic Information Systems,Data Visualization,OpenShift,Amazon Web Services,identity management}",25,25,40,10,4da82e8b-a429-4d42-be7d-87e08e5cb6fb,Vancouver,BC,Canada,40,bad6b539-599d-480c-8dd8-3b6e350c87bb
